name,cost_text,coordinates,rooms,desc,available_date,property_type,nearest_schools
66 Wolverhampton Street Footscray VIC 3011,$450pw/$1955pcm,"[-37.7984999, 144.8910391]","['2 Beds', '2 Baths', '− Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Thursday, 10th November 2022",Townhouse,"['0.1 km away', '0.3 km away', '0.9 km away']"
5B Murdock Street Brunswick VIC 3056,$600pw / $2607pcm,"[-37.7556431, 144.9590971]","['2 Beds', '1 Bath', '1 Parking']","This beautiful two bedroom and study home has been built with style and quality. Perfect for the city-commuting professional and ideal for the growing family. There are two huge upstairs double bedrooms (one with WIR the other with BIR), a spacious central bathroom with separate shower and bath. Downstairs a luxurious entrance and Jarrah floorboards lead past a generous sized study and then to a","Wednesday, 12th October 2022",House,"['0.7 km away', '1.7 km away']"
1226/555 Flinders Street Melbourne VIC 3000,$600 per week,"[-37.8209711, 144.9564827]","['2 Beds', '2 Baths', '1 Parking']","Spacious two bedroom unfurnished apartment located along the Yarra River, opposite Crown Casino entrainment precinct and Melbourne's Exhibition Centre. Located on the 12th floor, this apartment comprises of a open plan living area with Carpet, blinds and painting, master bedroom with ensuite, built-in wardrobes in both bedrooms and central heating and cooling throughout. A tasteful kitchen",Available Now,Apartment / Unit / Flat,"['2.2 km away', '2.7 km away']"
108/1298-1302 GlenHuntly Road Carnegie VIC 3163,$490,"[-37.8907955, 145.0513617]","['2 Beds', '1 Bath', '1 Parking']",Nigel Chee,"Friday, 18th November 2022",House,"['0.3 km away', '1.3 km away', '4.1 km away']"
1602 6 Joseph Road Footscray VIC 3011,$480 per week,"[-37.7992633, 144.9096812]","['2 Beds', '2 Baths', '1 Parking']",Leasing Team,"Monday, 7th November 2022",House,"['1.1 km away', '1.7 km away', '5.3 km away']"
60 Queen Street Coburg VIC 3058,$640 per week,"[-37.7491719, 144.9505795]","['3 Beds', '1 Bath', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,House,"['0.3 km away', '2.2 km away']"
2/13 Christmas Street Northcote VIC 3070,$430.00,"[-37.76578200000001, 145.006648]","['2 Beds', '1 Bath', '1 Parking']",***PLEASE REGISTER ONLINE PRIOR TO INSPECTION***,"Thursday, 20th October 2022",Apartment / Unit / Flat,"['0.5 km away', '1.7 km away', '1.8 km away']"
2 Menzie Grove Eaglemont VIC 3084,$470 Per Week,"[-37.7680343, 145.0577574]","['3 Beds', '1 Bath', '4 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Tuesday, 22nd November 2022",House,"['0.7 km away', '3 km away', '6.2 km away']"
6/ Orange Court Doveton VIC 3177,$340,"[-37.9882243, 145.2379404]","['3 Beds', '1 Bath', '4 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,House,"['0.5 km away', '2.6 km away', '16.9 km away']"
33 Argyle Crescent Werribee VIC 3030,$370,"[-37.8852417, 144.6670703]","['3 Beds', '1 Bath', '2 Parking', '530m² ']","This much loved and cherished property offers a low maintenance lifestyle perfectly positioned right in the heart of Werribee with easy access to all of the area's finest amenities such as parklands, shopping facilities, public transport, Bethany Primary School and Good News Lutheran College. ","Friday, 28th October 2022",House,"['0.9 km away', '1.3 km away']"
12/1083 Glen Huntly Road Glen Huntly VIC 3163,$485 per week,"[-37.8889077, 145.0392424]","['2 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Wednesday, 12th October 2022",Apartment / Unit / Flat,"['0.4 km away', '0.8 km away', '4.7 km away']"
114/7 Balcombe Road Mentone VIC 3194,$330.00,"[-37.9821559, 145.070335]","['1 Bed', '1 Bath', '1 Parking']","Stress-free living at its finest, this apartment is the perfect base from which to enjoy all the best Mentone has to offer and just a short stroll to the station for an easy workday commute.","Friday, 28th October 2022",Apartment / Unit / Flat,"['0.2 km away', '1.5 km away', '2.2 km away']"
56 Tucker Boulevard Carrum Downs VIC 3201,$450 per week,"[-38.0957026, 145.1771672]","['3 Beds', '2 Baths', '1 Parking']",**We are currently accepting online applications via 2apply. To do this please email crystal@krpeters.com.au to be provided with the link to 2Apply**,Available Now,Townhouse,"['0.9 km away', '1.9 km away', '4 km away']"
3209A/100 Harbour Esplanade Docklands VIC 3008,$520 per week,"[-37.8185768, 144.9473735]","['1 Bed', '1 Bath', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Friday, 21st October 2022",Apartment / Unit / Flat,['2.5 km away']
4 Belle Vista Keilor East VIC 3033,$450.00 per week,"[-37.7398785, 144.8769028]","['3 Beds', '2 Baths', '2 Parking']","Modern home set on top of the hill offering lake views is ideally located with Keilor Road shopping, trails for walking and cycling, golf courses, schools and easy access to public transport.","Monday, 7th November 2022",Townhouse,"['0.9 km away', '1 km away', '4.8 km away']"
3111/371 Little Lonsdale Street Melbourne VIC 3000,$600 pw - Great Location!,"[-37.8117708, 144.9609302]","['2 Beds', '2 Baths', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Tuesday, 8th November 2022",Apartment / Unit / Flat,"['1.3 km away', '1.7 km away']"
4/24 Princes Street St Kilda VIC 3182,$390,"[-37.8592072, 144.9818794]","['1 Bed', '1 Bath', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,Apartment / Unit / Flat,"['0.4 km away', '1.2 km away', '4.3 km away']"
107/80 La Scala Avenue Maribyrnong VIC 3032,$340 per week,"[-37.7818117, 144.8929793]","['1 Bed', '1 Bath', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Tuesday, 11th October 2022",Apartment / Unit / Flat,"['0.5 km away', '1.1 km away', '3.3 km away']"
2/17 Oakhill Avenue Reservoir VIC 3073,$380.00 pw,"[-37.729329, 145.013679]","['2 Beds', '1 Bath', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Tuesday, 18th October 2022",Apartment / Unit / Flat,"['0.3 km away', '1.4 km away', '4.5 km away']"
4/1B Wilkinson Street Reservoir VIC 3073,$370.00 pw,"[-37.7276117, 145.0191534]","['2 Beds', '2 Baths', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Tuesday, 18th October 2022",Townhouse,"['0.8 km away', '1.1 km away', '4.9 km away']"
15 Karella Crescent Mornington VIC 3931,$525 per week,"[-38.2299241, 145.0391529]","['2 Beds', '1 Bath', '1 Parking', '591m² ']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Monday, 10th October 2022",House,"['1 km away', '2.2 km away', '15.2 km away']"
1/2 Reid Street Frankston VIC 3199,$430,"[-38.1552475, 145.1291084]","['2 Beds', '1 Bath', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Friday, 4th November 2022",Apartment / Unit / Flat,"['0.6 km away', '0.6 km away', '3.1 km away']"
1/100 Glen Huntly Rd Elwood VIC 3184,$550 weekly,"[-37.8830885, 144.988356]","['2 Beds', '1 Bath', '1 Parking']",Leasing Concierge,"Saturday, 8th October 2022",Apartment / Unit / Flat,"['0.2 km away', '0.4 km away', '8.1 km away']"
2 Woolstone Close Kealba VIC 3021,$400,"[-37.737641, 144.8262695]","['4 Beds', '1 Bath', '2 Parking', '645m² ']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Friday, 4th November 2022",House,"['1.5 km away', '1.9 km away', '2.3 km away']"
11 Abinger Street Richmond VIC 3121,"$1,300","[-37.8200105, 144.9997611]","['4 Beds', '2 Baths', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Thursday, 17th November 2022",House,"['0.4 km away', '0.4 km away', '0.8 km away']"
2 Dion Place Harkness VIC 3337,$460 Per Week,"[-37.6663063, 144.53623]","['3 Beds', '2 Baths', '6 Parking', '610m² ']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Thursday, 10th November 2022",House,"['0.5 km away', '3.2 km away', '3.2 km away']"
1B Benbow Street Yarraville VIC 3013,$750 per week,"[-37.8230305, 144.8809225]","['3 Beds', '2 Baths', '2 Parking']",This 3 bedroom townhouse has everything to offer!,"Tuesday, 6th December 2022",Townhouse,"['0.6 km away', '0.6 km away', '3.7 km away']"
28 Linton Lane Highton VIC 3216,490,"[-38.1612561, 144.3194025]","['3 Beds', '2 Baths', '1 Parking', '732m² ']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Friday, 14th October 2022",House,"['0.6 km away', '1.9 km away', '3.3 km away']"
G18/45 Edgewater Boulevard Maribyrnong VIC 3032,$340 per week,"[-37.7846079, 144.8942259]","['1 Bed', '1 Bath', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,Apartment / Unit / Flat,"['0.7 km away', '0.8 km away', '1 km away']"
13 Sonder Avenue Werribee VIC 3030,$550,"[-37.9063131, 144.6185001]","['5 Beds', '3 Baths', '2 Parking']","Magnificent family 5-bedroom home that comes with timeless appeal, quality finishes and in an excellent location, is a testament to comfortable living. Basking in an abundance of natural light that flows through the home is indulgently spacious with numerous living areas for all to enjoy, gives you a great sense of space &amp; comfort throughout.","Wednesday, 2nd November 2022",House,['3.6 km away']
1310/33 Mackenzie Street Melbourne VIC 3000,$560 weekly,"[-37.80772140000001, 144.966885]","['2 Beds', '1 Bath', '− Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Sunday, 20th November 2022",Apartment / Unit / Flat,"['0.7 km away', '1.5 km away']"
206/4 Joseph Road Footscray VIC 3011,$520 per week,"[-37.799683, 144.9097085]","['2 Beds', '2 Baths', '1 Parking']",Mary Mezei,"Thursday, 20th October 2022",Apartment / Unit / Flat,"['1.1 km away', '1.7 km away', '5.3 km away']"
20 Khalil Avenue Dandenong North VIC 3175,$420 PW / $1825 PCM,"[-37.9697729, 145.2255107]","['3 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Tuesday, 11th October 2022",House,"['1.2 km away', '1.8 km away', '15.1 km away']"
20 Kingston Rule Street Kurunjang VIC 3337,$450,"[-37.6582259, 144.5891706]","['4 Beds', '2 Baths', '5 Parking']","Located in Kurunjang, this wonderful home boasts a family friendly floorplan, comprising of 4 bedrooms, master with ensuite and WIR, formal lounge, 2 bathrooms, sparkling kitchen with dishwasher, 3 flowing open living/dinning area.",Available Now,House,"['1.4 km away', '1.7 km away']"
2 Centre Road Brighton East VIC 3187,"$1,690.00","[-37.9149993, 145.0074443]","['5 Beds', '2 Baths', '3 Parking']",Max D'Aloia,"Friday, 4th November 2022",House,"['0.6 km away', '1.2 km away', '5 km away']"
31 Thomas Crescent Cranbourne VIC 3977,$490,"[-38.107067, 145.2699724]","['3 Beds', '1 Bath', '4 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg",Available Now,House,"['0.5 km away', '1.5 km away', '9.6 km away']"
220 Murray Road Preston VIC 3072,$550,"[-37.738246, 145.0084128]","['3 Beds', '1 Bath', '2 Parking']","Situated only a few minutes from the High Street eateries, shops &amp; cafés, this recently updated home has lots to offer. Step inside to find three generously sized bedrooms with brand new carpet, large bathroom with updated vanity &amp; shower &amp; separate laundry/toilet. Kitchen includes ample cupboard space, gas cooking &amp; plenty of natural light. Spacious living area with split system &amp; heater. Large",Available Now,House,"['0.3 km away', '0.9 km away', '2.5 km away']"
013 Tavistock Road Frankston South VIC 3199,$500,"[-38.1640753, 145.1342584]","['3 Beds', '1 Bath', '2 Parking']","A well located three bedroom home within walking distance to Frankston High School, Overport Primary, Towerhill shopping centre and Delacombe Park.",Available Now,House,"['0.6 km away', '0.8 km away', '3.1 km away']"
34 Monkhouse Drive Endeavour Hills VIC 3802,$495 weekly,"[-37.9763172, 145.2548183]","['4 Beds', '2 Baths', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Friday, 4th November 2022",House,"['0.8 km away', '1.8 km away', '1.9 km away']"
15 Jacana Avenue Frankston VIC 3199,$470,"[-38.1412489, 145.1432096]","['3 Beds', '1 Bath', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Wednesday, 12th October 2022",House,"['0.6 km away', '1.5 km away', '1.9 km away']"
113N/229 Toorak Road South Yarra VIC 3141,$420.00 per week,"[-37.8388865, 144.9947085]","['1 Bed', '1 Bath', '1 Parking']","Light, bright and in the centre of the action, this modern and spacious one bedroom, one bathroom apartment offers its resident a sanctuary amongst the bustle of inner South Yarra! 
Located in Melbourne's 'most liveable suburb', we invite you to enjoy a world class lifestyle moments from the trendiest cafes and bars, boutique retailers and an abundance of public transport options","Thursday, 20th October 2022",Apartment / Unit / Flat,"['1.4 km away', '1.5 km away', '2.5 km away']"
5 North Street Preston VIC 3072,$630.00,"[-37.7332557, 144.9843108]","['3 Beds', '1 Bath', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Saturday, 22nd October 2022",House,"['0.4 km away', '1.3 km away', '3.4 km away']"
