name,cost_text,coordinates,rooms,desc,available_date,property_type,nearest_schools
4/19 Milton Street Elwood VIC 3184,$550 weekly,"[-37.875229, 144.9873877]","['2 Beds', '1 Bath', '1 Parking']",Jemma Dorkins,"Tuesday, 4th October 2022",Apartment / Unit / Flat,"['0.7 km away', '0.8 km away', '5.8 km away']"
1/83 Hogans Road Hoppers Crossing VIC 3029,$320,"[-37.8639359, 144.6925155]","['2 Beds', '1 Bath', '2 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Monday, 17th October 2022",House,"['0.5 km away', '0.8 km away']"
1/26 Patty Street Mentone VIC 3194,$460 pw,"[-37.977424, 145.0574677]","['2 Beds', '1 Bath', '1 Parking']",Tanya Tanner,"Saturday, 15th October 2022",Apartment / Unit / Flat,"['0.4 km away', '1 km away', '2.1 km away']"
3/5 Box Street Reservoir VIC 3073,$380 Per Week,"[-37.7077102, 145.0208233]","['2 Beds', '1 Bath', '1 Parking']",A stunning living unit residence in a great condition awaits you in this well located position. ,"Wednesday, 12th October 2022",Apartment / Unit / Flat,"['0.3 km away', '1.8 km away']"
2/3 Marshall Avenue Clayton VIC 3168,$480 pw/ $2086 pcm,"[-37.907324, 145.1272]","['2 Beds', '1 Bath', '1 Parking']","This spacious two bedrooms, open plan kitchen/dining/living, kitchen features gas hot plates and electric oven with plenty of bench and cupboard space, central family near new bathroom and laundry. Additional features include heating, cooling, single garage and outdoor private rear yard for entertaining or just enjoying the outdoor area. Located within walking distance to Monash University and",Available Now,Apartment / Unit / Flat,"['0.7 km away', '0.8 km away', '3.6 km away']"
5/55 Murray Street Prahran VIC 3181,$620,"[-37.8503554, 145.0015904]","['2 Beds', '2 Baths', '1 Parking']"," class=""css-dxogle"">* Unverified feature<svg aria-hidden=""true"" class=""domain-icon css-kry84i"" viewbox=""0 0 18 18""><circle cx=""9.5"" cy=""9.5"" fill=""none"" r=""6.5"" stroke=""currentColor"" stroke-width=""2""></circle><path d=""M9.5 11.5v-3"" fill=""none"" stroke=""currentColor""></path><circle cx=""9.5"" cy=""6.5"" fill=""currentColor"" r="".5""></circle></svg","Friday, 30th September 2022",Apartment / Unit / Flat,"['0.9 km away', '0.9 km away', '3.3 km away']"
7/684 Inkerman Road Caulfield North VIC 3161,$450 per week,"[-37.8690275, 145.023135]","['2 Beds', '1 Bath', '1 Parking']","This rear fully renovated 2 bedroom solid brick apartment offering style, space and convenience. ","Wednesday, 26th October 2022",Apartment / Unit / Flat,"['0.4 km away', '2.3 km away', '7.3 km away']"
5/2 Alamein Street Noble Park VIC 3174,$380,"[-37.9583451, 145.1658117]","['2 Beds', '1 Bath', '1 Parking']","This fantastic 2 bedroom brick veneer unit is in the perfect location! Situated close to Princes Highway &amp; Sandown train station! Featuring a large living area that leads to a very spacious kitchen that has gas cooking and plenty of storage space, bedrooms have built in robes and the bathroom has a seperate bath and shower. This unit also features a gas heater which is perfect for winter! Being so","Friday, 7th October 2022",Apartment / Unit / Flat,"['0.8 km away', '1.1 km away', '9.8 km away']"
18/11-17 Park Street St Kilda West VIC 3182,$475.00,"[-37.8605574, 144.9736826]","['2 Beds', '1 Bath', '− Parking']",Annie Gillan,"Wednesday, 12th October 2022",Apartment / Unit / Flat,"['0.5 km away', '2.9 km away', '3.8 km away']"
41 Grosvenor Street South Yarra VIC 3141,$690.00 per week,"[-37.844249, 144.993047]","['2 Beds', '2 Baths', '1 Parking']","This is a truly lovely, spacious house in a very exclusive area, only 2 minutes' walk to Prahran Market or to Jam Factory. Parklands, shops, cafes and restaurants and public transports are just at your door step, this house ticks all the boxes.
Comprises open plan living and dining zones open onto a sizeable balcony. Two master bedrooms, one on each level all with full ensuite.
Features beautiful","Saturday, 1st October 2022",House,"['0.8 km away', '1.5 km away', '3.1 km away']"
